Feature,Importance
PART_count,0.0
bigram_recevoir_mail,0.0002521085729005193
SPACE_count,0.00033552660908049687
bigram_contacter_service,0.0003868284194638629
SYM_count,0.00043418810551232816
INTJ_count,0.0004625411754235094
bigram_rapport_qualité,0.0005215128789622186
bigram_commander_article,0.0005243090576733376
bigram_commander_site,0.0006249453941700806
bigram_annuler_commande,0.0006874554064744485
bigram_colis_livrer,0.0008316882779965553
bigram_bon_service,0.0008859876963308863
bigram_site_sérieux,0.0009008210140359881
bigram_bon_produit,0.0009345632057242627
bigram_recevoir_colis,0.0009860191463041796
bigram_bon_qualité,0.0012598070950688531
bigram_qualité_prix,0.001265678696891499
bigram_recevoir_commande,0.0013153700402657948
bigram_délai_livraison,0.0022801772831218077
bigram_livraison_rapide,0.0026544937899571153
bigram_bon_site,0.002910353415808025
X_count,0.00313233418616168
bigram_service_client,0.004528270572426447
Saturday,0.0053493228895358765
Monday,0.005622391789309022
Tuesday,0.005770955880187124
Friday,0.005774986919863303
Thursday,0.005783946948520343
Wednesday,0.006007088956240014
Contains_Ellipsis_comm,0.009677641815633421
PER_count,0.013224727503360213
LOC_count,0.016851060110422703
MISC_count,0.017163067676480414
ORG_count,0.02111323920414268
PROPN_count,0.030101790919753565
annee_comm,0.03123054764916863
expression_count_comm,0.03368822931912142
PUNCT_count,0.034845302114318084
NOUN_count,0.03792461798209602
ADV_count,0.03828282339818609
CCONJ_count,0.03912781229751223
ADP_count,0.04139791827214223
PRON_count,0.04444262479838737
AUX_count,0.050381269620533076
VERB_count,0.05084430139209188
DET_count,0.05476751331703251
SCONJ_count,0.05507530321977819
ADJ_count,0.05858794377982147
NUM_count,0.09579352910540549
nb_mots_comm,0.1630550630812027
